award_title,metric,details
出道即巅峰,首秀最好成绩,1st | 猴妈 | 瑞妈 | A妈 | 羊妈 | Parachute - Had It All | Tame Impala | - | Borderline | Phoebe Bridgers - Kyoto | Best Frenz & Joywave - Flatline | 1 | 3B | 11B | 13
卧薪尝胆,花费最长时间夺冠,21组 | 锴妈 | 1(参赛)-10A(夺冠)
实红艺人,实现连冠,2届 | 包妈 | 雨妈 | 5-6 (5A 6C) | 7-8 (7A-8A)
小众之星,最多小众场夺冠次数,2届 | 包妈 | 雨妈 | 3A 5A | 7A 8A
雨露均沾,最多连续排名,12 | 锴妈 | 4th-15th
跳水天后,最大相邻两场成绩差,1st-24th | 1st-17th | 羊妈 | A妈 | 13-14 | 11B-12A
极限卡位,同名次同届异场歌曲,2nd | 9th | 雨妈 | 洛妈 | The 2th Barvision · 2019 | The 9th Barvision · 2020 | 2SF 2GF | 9A 9B
独家冠名,最多同名次选送,5首 | 锴妈 | 城妈 | 4th | 5th | 2SF 6C 7C 9B 11A | 2GF 5B 7C 8A 10B
全世界都在讲中国话,最多选送华语单曲,13首 | 院妈
即刻开吸,混淆单曲超过选送单曲最大差距,13名 | 田妈 | 3rd | -16th | 10B
