Category,Weeks,Artist(s),Song
charted,57,Billie Eilish,BIRDS OF A FEATHER
charted,54,Sabrina Carpenter,Espresso
charted,51,Alcest,Flamme Jumelle
charted,50,Chappell Roan,"Good Luck, Babe!"
charted,41,Chappell Roan,Pink Pony Club
charted,38,Kendrick Lamar,Not Like Us
charted,36*,Ravyn Lenae,Love Me Not
charted,35,Muni Long,Made For Me
charted,35,Gracie Abrams,Risk
charted,35,Billie Eilish,WILDFLOWER
charted,35,The Marías,Run Your Mouth
charted,35,Ariana Grande,we can't be friends (wait for your love)
top3,21,Billie Eilish,BIRDS OF A FEATHER
top3,20,HAIM,Relationships
top3,17,Sabrina Carpenter,Espresso
top3,14,Kendrick Lamar & SZA,luther
top3,12,Lady Gaga & Bruno Mars,Die With A Smile
top5,23,Billie Eilish,BIRDS OF A FEATHER
top5,21,Sabrina Carpenter,Espresso
top5,21,HAIM,Relationships
top5,17,Kendrick Lamar & SZA,luther
top5,15,Lady Gaga & Bruno Mars,Die With A Smile
top5,15,Sabrina Carpenter,Taste
top10,38,Sabrina Carpenter,Espresso
top10,26,Billie Eilish,BIRDS OF A FEATHER
top10,25,HAIM,Relationships
top10,22,Chappell Roan,Pink Pony Club
top10,21,Kendrick Lamar & SZA,luther
top20,41,Sabrina Carpenter,Espresso
top20,35,Billie Eilish,BIRDS OF A FEATHER
top20,32,Chappell Roan,"Good Luck, Babe!"
top20,29,Chappell Roan,Pink Pony Club
top20,26,HAIM,Relationships
top50,49,Sabrina Carpenter,Espresso
top50,43,Billie Eilish,BIRDS OF A FEATHER
top50,42,Chappell Roan,"Good Luck, Babe!"
top50,42,Alcest,Flamme Jumelle
top50,34,Chappell Roan,Pink Pony Club
