Number,Artist(s),Song,Volume,Ranking
19,Lady Gaga,Abracadabra,2025-02-14,1
18,ROS? & Bruno Mars,APT.,2024-11-08,1
18,Taylor Swift,The Fate of Ophelia,2025-10-17,1
17,ROS? & Bruno Mars,APT.,2024-11-15,1
17,ROS? & Bruno Mars,APT.,2024-11-22,1
17,Lady Gaga & Bruno Mars,Die With A Smile,2024-09-13,1
17,Lady Gaga,Abracadabra,2025-02-21,1
17,HAIM,Relationships,2025-07-04,1
17,HAIM,Relationships,2025-07-11,1
17,Chappell Roan,The Subway,2025-08-08,1
17,Taylor Swift,The Fate of Ophelia,2025-10-10,1
17,Taylor Swift,The Fate of Ophelia,2025-10-24,1
17,Taylor Swift,The Fate of Ophelia,2025-10-31,1
16,Lady Gaga & Bruno Mars,Die With A Smile,2024-08-30,1
16,Lady Gaga & Bruno Mars,Die With A Smile,2024-09-06,1
16,Sabrina Carpenter,Taste,2024-10-04,3
16,Sabrina Carpenter,Manchild,2025-07-11,3
16,Sabrina Carpenter,Manchild,2025-07-18,2
16,Billie Eilish,BIRDS OF A FEATHER,2024-10-11,1
16,Billie Eilish,BIRDS OF A FEATHER,2024-10-18,1
16,Lady Gaga,Abracadabra,2025-02-07,1
16,Lady Gaga,Abracadabra,2025-02-28,2
16,Chappell Roan,The Subway,2025-08-15,1
16,Taylor Swift,The Fate of Ophelia,2025-11-07,1
16,Taylor Swift,The Fate of Ophelia,2025-11-14,1
