Number,Artist(s),Song,Volume,Points,Per
19,Lady Gaga,Abracadabra,2025-02-14,2597.96,136.73
18,Taylor Swift,The Fate of Ophelia,2025-10-17,3081.23,171.18
17,,,2025-10-24,2915.13,171.48
16,Lady Gaga & Bruno Mars,Die With A Smile,2024-08-30,2823.11,176.44
15,ROS? & Bruno Mars,APT.,2024-10-25,2569.79,171.32
14,HAIM,Relationships,2025-04-11,2392.75,170.91
13,Tate McRae,Sports car,2025-02-28,2626.32,202.02
12,Ariana Grande,"yes, and?",2025-03-21,2178.37,181.53
11,Alex Warren,FEVER DREAM,2026-04-17,2019.15,183.56
10,Alex Warren,FEVER DREAM,2026-04-03,1931.20,193.12
9,Ariana Grande,"yes, and?",2024-01-19,2092.15,232.46
8,Alex Warren,FEVER DREAM,2026-05-01,1555.06,194.38
7,"Linda Lampenius, Pete Parkkonen",Liekinheitin,2026-03-06,1557.00,222.43
6,Gracie Abrams,"I Love You, I'm Sorry",2024-10-25,1259.97,209.99
5,Taylor Swift,Elizabeth Taylor,2026-05-08,1046.16,209.23
4,"Ella Langley, Morgan Wallen",I Can't Love You Anymore,2026-05-01,946.99,236.75
3,QWER,? ?? ?? (My Name is Malguem),2024-10-04,819.34,273.11
2,aespa,Supernova,2024-05-31,675.83,337.92
1,Bell Biv DeVoe,Poison,2025-10-24,501.48,501.48
