Weeks,Artist,Song
3,Ariana Grande,we can't be friends (wait for your love)
3,Sabrina Carpenter,Taste
3,Alex Warren,Ordinary
2,Vampire Weekend,Capricorn
2,Justin Timberlake,Selfish
2,Tate McRae,greedy
2,Linkin Park,The Emptiness Machine
2,Lorde,Shapeshifter
2,Miley Cyrus & Brittany Howard,Walk of Fame
1,Dua Lipa,Training Season
1,Kali Uchis & Peso Pluma,Igual Que Un Ángel
1,Charli xcx & Billie Eilish,Guess
1,Taylor Swift & Florence + The Machine,Florida!!!
1,Bennett Coast,Pretender
1,Gracie Abrams,That's So True
1,SZA,Kitchen
1,Chappell Roan,Pink Pony Club
1,David Archuleta,Crème Brulée
1,Wolf Alice,The Sofa
1,Sabrina Carpenter,Tears
